,Bias,length,DTW,Frechet
0,boltz 1,106,94.0,6.0
1,boltz 1,80,51.0,5.0
2,boltz 1,89,26.0,2.0
3,boltz 1,84,44.0,4.0
4,boltz 1,92,27.0,2.0
5,boltz 1,81,39.0,5.0
6,boltz 1,106,89.0,5.0
7,boltz 1,98,23.0,2.0
8,boltz 1,76,44.0,5.0
9,boltz 1,116,134.0,6.0
10,boltz 1,115,46.0,2.0
11,boltz 1,110,76.0,5.0
12,boltz 1,113,42.0,3.0
13,boltz 1,112,34.0,2.0
14,boltz 1,84,23.0,2.0
15,boltz 1,94,27.0,2.0
16,boltz 1,126,68.0,2.0
17,boltz 1,126,67.0,4.0
18,boltz 1,97,28.0,2.0
19,boltz 1,107,40.0,2.0
20,boltz 10,48,2.0,1.0
21,boltz 10,44,0.0,0.0
22,boltz 10,46,1.0,1.0
23,boltz 10,46,1.0,1.0
24,boltz 10,46,1.0,1.0
25,boltz 10,48,2.0,1.0
26,boltz 10,44,0.0,0.0
27,boltz 10,46,1.0,1.0
28,boltz 10,44,0.0,0.0
29,boltz 10,50,3.0,1.0
30,boltz 10,46,1.0,1.0
31,boltz 10,44,0.0,0.0
32,boltz 10,48,2.0,1.0
33,boltz 10,44,0.0,0.0
34,boltz 10,46,1.0,1.0
35,boltz 10,46,1.0,1.0
36,boltz 10,46,1.0,1.0
37,boltz 10,48,2.0,1.0
38,boltz 10,46,1.0,1.0
39,boltz 10,44,0.0,0.0
40,prospect 2,63,32.0,6.0
41,prospect 2,64,33.0,6.0
42,prospect 2,55,32.0,6.0
43,prospect 2,54,34.0,6.0
44,prospect 2,62,43.0,6.0
45,prospect 2,76,42.0,6.0
46,prospect 2,67,41.0,6.0
47,prospect 2,51,27.0,6.0
48,prospect 2,61,33.0,6.0
49,prospect 2,52,34.0,6.0
50,prospect 2,57,33.0,6.0
51,prospect 2,61,33.0,6.0
52,prospect 2,66,53.0,6.0
53,prospect 2,49,30.0,6.0
54,prospect 2,64,40.0,6.0
55,prospect 2,60,34.0,6.0
56,prospect 2,64,48.0,6.0
57,prospect 2,69,36.0,6.0
58,prospect 2,51,27.0,6.0
59,prospect 2,57,32.0,6.0
60,prospect 50,91,427.0,21.0
61,prospect 50,193,560.0,21.0
62,prospect 50,118,464.0,21.0
63,prospect 50,62,334.0,21.0
64,prospect 50,150,417.0,21.0
65,prospect 50,112,389.0,21.0
66,prospect 50,81,380.0,21.0
67,prospect 50,92,363.0,21.0
68,prospect 50,138,394.0,21.0
69,prospect 50,111,369.0,21.0
70,prospect 50,110,420.0,21.0
71,prospect 50,129,388.0,21.0
72,prospect 50,86,47.0,6.0
73,prospect 50,109,61.0,6.0
74,prospect 50,98,351.0,21.0
75,prospect 50,78,377.0,21.0
76,prospect 50,126,483.0,21.0
77,prospect 50,149,457.0,21.0
78,prospect 50,106,467.0,21.0
79,prospect 50,109,414.0,21.0
80,extremal 0,47,1.0,1.0
81,extremal 0,45,0.0,0.0
82,extremal 0,51,2.0,1.0
83,extremal 0,46,1.0,1.0
84,extremal 0,48,2.0,1.0
85,extremal 0,46,0.0,0.0
86,extremal 0,46,0.0,0.0
87,extremal 0,44,0.0,0.0
88,extremal 0,54,15.0,4.0
89,extremal 0,50,1.0,1.0
90,extremal 0,44,0.0,0.0
91,extremal 0,47,0.0,0.0
92,extremal 0,49,1.0,1.0
93,extremal 0,47,1.0,1.0
94,extremal 0,46,1.0,1.0
95,extremal 0,47,0.0,0.0
96,extremal 0,47,1.0,1.0
97,extremal 0,51,3.0,1.0
98,extremal 0,45,0.0,0.0
99,extremal 0,50,3.0,1.0
100,extremal 0.99,49,2.0,1.0
101,extremal 0.99,46,1.0,1.0
102,extremal 0.99,46,1.0,1.0
103,extremal 0.99,49,2.0,1.0
