,Bias,length,DTW,Frechet
0,boltz 1,104,82.0,5.0
1,boltz 1,117,49.0,2.0
2,boltz 1,99,80.0,6.0
3,boltz 1,91,42.0,4.0
4,boltz 1,85,17.0,1.0
5,boltz 1,99,80.0,6.0
6,boltz 1,80,17.0,2.0
7,boltz 1,77,32.0,4.0
8,boltz 1,89,60.0,5.0
9,boltz 1,113,59.0,2.0
10,boltz 1,93,39.0,3.0
11,boltz 1,106,103.0,5.0
12,boltz 1,89,21.0,2.0
13,boltz 1,95,26.0,2.0
14,boltz 1,92,33.0,2.0
15,boltz 1,153,89.0,4.0
16,boltz 1,95,50.0,4.0
17,boltz 1,93,31.0,2.0
18,boltz 1,76,20.0,2.0
19,boltz 1,94,24.0,2.0
20,boltz 1,106,85.0,6.0
21,boltz 1,81,32.0,2.0
22,boltz 1,146,87.0,3.0
23,boltz 1,95,22.0,1.0
24,boltz 1,109,51.0,4.0
25,boltz 1,103,43.0,2.0
26,boltz 1,100,60.0,6.0
27,boltz 1,90,48.0,6.0
28,boltz 1,108,31.0,2.0
29,boltz 1,137,55.0,2.0
30,boltz 1,85,30.0,2.0
31,boltz 1,88,24.0,2.0
32,boltz 1,99,55.0,4.0
33,boltz 1,103,33.0,2.0
34,boltz 1,97,36.0,2.0
35,boltz 1,136,90.0,5.0
36,boltz 1,120,52.0,3.0
37,boltz 1,79,21.0,2.0
38,boltz 1,106,37.0,3.0
39,boltz 1,118,114.0,6.0
40,boltz 10,46,1.0,1.0
41,boltz 10,46,1.0,1.0
42,boltz 10,52,4.0,1.0
43,boltz 10,44,0.0,0.0
44,boltz 10,44,0.0,0.0
45,boltz 10,48,10.0,2.0
46,boltz 10,46,1.0,1.0
47,boltz 10,46,1.0,1.0
48,boltz 10,46,1.0,1.0
49,boltz 10,44,0.0,0.0
50,boltz 10,46,1.0,1.0
51,boltz 10,46,1.0,1.0
52,boltz 10,44,0.0,0.0
53,boltz 10,44,0.0,0.0
54,boltz 10,44,0.0,0.0
55,boltz 10,46,1.0,1.0
56,boltz 10,44,0.0,0.0
57,boltz 10,46,1.0,1.0
58,boltz 10,46,1.0,1.0
59,boltz 10,46,1.0,1.0
60,boltz 10,44,0.0,0.0
61,boltz 10,46,1.0,1.0
62,boltz 10,46,1.0,1.0
63,boltz 10,44,0.0,0.0
64,boltz 10,44,0.0,0.0
65,boltz 10,46,1.0,1.0
66,boltz 10,46,1.0,1.0
67,boltz 10,44,0.0,0.0
68,boltz 10,46,1.0,1.0
69,boltz 10,44,0.0,0.0
70,boltz 10,44,0.0,0.0
71,boltz 10,46,1.0,1.0
72,boltz 10,44,0.0,0.0
73,boltz 10,44,0.0,0.0
74,boltz 10,46,1.0,1.0
75,boltz 10,44,0.0,0.0
76,boltz 10,44,0.0,0.0
77,boltz 10,46,1.0,1.0
78,boltz 10,46,1.0,1.0
79,boltz 10,44,0.0,0.0
80,prospect 2,58,5.0,1.0
81,prospect 2,65,13.0,1.0
82,prospect 2,69,38.0,6.0
83,prospect 2,53,3.0,1.0
84,prospect 2,61,40.0,6.0
85,prospect 2,65,33.0,6.0
86,prospect 2,58,30.0,6.0
87,prospect 2,65,35.0,6.0
88,prospect 2,53,28.0,6.0
89,prospect 2,56,30.0,6.0
90,prospect 2,63,35.0,6.0
91,prospect 2,51,27.0,6.0
92,prospect 2,50,26.0,6.0
93,prospect 2,57,30.0,6.0
94,prospect 2,56,38.0,6.0
95,prospect 2,55,32.0,6.0
96,prospect 2,53,31.0,6.0
97,prospect 2,51,33.0,6.0
98,prospect 2,79,47.0,6.0
99,prospect 2,55,31.0,6.0
100,prospect 2,63,34.0,6.0
101,prospect 2,54,28.0,6.0
102,prospect 2,68,45.0,6.0
103,prospect 2,54,32.0,6.0
104,prospect 2,58,30.0,6.0
105,prospect 2,62,31.0,6.0
106,prospect 2,47,0.0,0.0
107,prospect 2,54,31.0,6.0
108,prospect 2,62,33.0,6.0
109,prospect 2,62,38.0,6.0
